Model,mAP@50,mAP@50-95,Precision,Recall,F1 Score
YOLOv8s,0.912484901206501,0.831460182297661,0.9257920906567992,0.925531914893617,0.9255572240876035
RetinaNet,0.9370725154876709,0.8355056643486023,0.9368493562689796,0.9361702127659575,0.9360831721470019
