epoch,train_loss,val_loss
1,0.3192821057011548,0.26369277325769264
2,0.2336850766585842,0.2114238105714321
3,0.20566620099354008,0.1908512550095717
4,0.16095762228992977,0.1501018718505899
5,0.11255388448703779,0.1275733346119523
6,0.09135442569035374,0.10844561162715156
7,0.0804282456976638,0.1286271574596564
8,0.07243305359495013,0.11404953439099093
9,0.06540841661121476,0.09817037809019287
10,0.06283248333626142,0.18142024970923862
11,0.057991443111744104,0.1542632419926425
12,0.05380584564757401,0.08816781787512203
13,0.053646110496632586,0.11907770670950413
14,0.05489737057216364,0.1814350662752986
15,0.054756085833185884,0.10570166857602696
16,0.04782580774294459,0.14321968681178987
17,0.03898453080184656,0.13293059674712518
18,0.03464540337386741,0.13836795246849456
19,0.03421690712117305,0.123328942572698
20,0.03485427587782139,0.15104650015321872
21,0.029567386959275428,0.13901944318786263
22,0.027926404012120477,0.15207513491623104
