epoch,train_loss,val_loss
1,0.41817100542048885,0.3065604877968629
2,0.26854955999002067,0.24317999805013338
3,0.24268837602443347,0.22757441798845926
4,0.21701119482925493,0.20631142954031625
5,0.17320600816784384,0.15959102070579925
6,0.14327311145320332,0.14367068652063608
7,0.12698391327915126,0.12831244400391975
8,0.11129909331259662,0.13200581974039474
9,0.10153855162260195,0.12956248099605241
10,0.09143045819343225,0.13023858703672886
11,0.08313807591149525,0.13502370907614628
12,0.07668098532956212,0.11373133615901072
13,0.07233554910715312,0.12958854110911489
14,0.07109800212119267,0.11546844306091468
15,0.06757227611051847,0.12055222534885009
16,0.06671100202182384,0.11206424112121265
17,0.06456311618118253,0.1354132886044681
18,0.06169322026068489,0.11296412364269297
19,0.06300986809953707,0.1107499347999692
20,0.0592186672774624,0.11173397333671649
21,0.059045120714802175,0.12281894745926063
22,0.05812716061189839,0.12164915880809228
23,0.05791536212205615,0.12952811270952225
24,0.05362191516480762,0.11950730175400774
25,0.05124595816923331,0.11505175257722537
26,0.05197336235206965,0.11739688102776806
27,0.0511790814039778,0.12327926388631265
28,0.05004654479421437,0.11831736285239458
29,0.04919971437554926,0.11379484537368019
