epoch,train_loss,val_loss
1,0.5296010977193101,0.3569905099769433
2,0.3045506312898849,0.7969428692013025
3,0.40053192125335674,0.2558038563778003
4,3.5731993820433203,0.27202202565968037
5,0.7931740295056883,1.220700318614642
6,1.055967388196623,0.94107502947251
7,2.1400880934985262,0.8821164344747862
8,0.8565131316990613,0.8556612059473991
9,267.9040303439854,0.8656820853551229
10,0.8467576030182512,0.8712638442715009
11,0.8450240296860264,0.8637658953666687
12,0.8443334827140042,0.8690051784118017
13,0.8435892226489167,0.8678116127848625
