epoch,train_loss,val_loss
1,0.30523456139107275,0.24741702588895956
2,0.22841054895152785,0.2032718931635221
3,0.20000960913967325,0.17681309363494316
4,0.16042670849455545,0.17316463527580103
5,0.10880624231750562,0.13540046739702424
6,0.09053669142872775,0.13834191610415777
7,0.0758836698365402,0.2802535324978332
8,0.07329844456489228,0.20589197799563408
9,0.06514743407465279,0.1477309069596231
10,0.05046031821910377,0.14891973976045847
11,0.05138338327782067,0.1917058756419768
12,0.044595749305399585,0.14374017373969158
13,0.04455395557632729,0.17484890405709544
14,0.04104705458702562,0.19275111891329288
15,0.03629025220956024,0.2151308604516089
